"fecha","hora","contexto","componente","nombre","user id","descripcion","module id"
"07/03/2017","10:11","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '2' of the course","NULL"
"07/03/2017","10:10","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '1' of the course","NULL"
"07/03/2017","10:10","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '-1' of the course","NULL"
"06/03/2017","10:14","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '-1' of the course","NULL"
"06/03/2017","10:12","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the course","NULL"
"06/03/2017","10:12","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '5' of the course","NULL"
"06/03/2017","10:12","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '4' of the course","NULL"
"06/03/2017","10:12","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '3' of the course","NULL"
"06/03/2017","10:12","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '2' of the course","NULL"
"06/03/2017","10:12","Archivo: Problemas DiseÃ±o del Procesador","Recurso","MÃ³dulo de curso visto","391864","viewed the 'resource' activity with course","2723929"
"06/03/2017","10:12","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '2' of the course","NULL"
"06/03/2017","10:12","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '3' of the course","NULL"
"06/03/2017","10:12","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '2' of the course","NULL"
"06/03/2017","10:12","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '1' of the course","NULL"
"06/03/2017","10:12","Curso: FC Grupo E","Sistema","Curso visto","391864","viewed the section number '-1' of the course","NULL"
"05/03/2017","10:10","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '3' of the course","NULL"
"05/03/2017","10:10","Curso: FC Grupo E","Sistema","Curso visto","35646","viewed the section number '-1' of the course","NULL"
"05/03/2017","10:10","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","35646","viewed the page with id '5444' for the wiki with course","2669837"
"05/03/2017","10:09","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","35646","viewed the page with id '5443' for the wiki with course","2669837"
"05/03/2017","10:09","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","35646","viewed the page with id '5442' for the wiki with course","2669837"
"05/03/2017","10:09","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","35646","viewed the page with id '5441' for the wiki with course","2669837"
"05/03/2017","10:09","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","35646","viewed the page with id '5448' for the wiki with course","2669837"
"05/03/2017","10:08","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","35646","viewed the page with id '5343' for the wiki with course","2669837"
"05/03/2017","10:08","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","35646","viewed the page with id '5342' for the wiki with course","2669837"
"05/03/2017","10:07","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","35646","viewed the page with id '5341' for the wiki with course","2669837"
"05/03/2017","10:07","Wiki: Apuntes de clase","Wiki","PÃ¡gina wiki vista","35646","viewed the page with id '5289' for the wiki with course","2669837"
"05/03/2017","10:06","Wiki: Apuntes de clase","Wiki","MÃ³dulo de curso visto","35646","viewed the 'wiki' activity with course","2669837"
